% Model:              c4扩张收缩.mph
% Version:            COMSOL 5.4.0.225
% Date:               Apr 25 2021, 16:29
% Dimension:          2
% Nodes:              8
% Expressions:        51
% Description:        电场，z 分量
% Length unit:        m
% X                       Y                        ewfd.Ez (V/m) @ lambda=3, k1=-0.5, k2=0.5         ewfd.Ez (V/m) @ lambda=3, k1=-0.48, k2=0.5        ewfd.Ez (V/m) @ lambda=3, k1=-0.46, k2=0.5        ewfd.Ez (V/m) @ lambda=3, k1=-0.44, k2=0.5        ewfd.Ez (V/m) @ lambda=3, k1=-0.42, k2=0.5        ewfd.Ez (V/m) @ lambda=3, k1=-0.4, k2=0.5         ewfd.Ez (V/m) @ lambda=3, k1=-0.38, k2=0.5        ewfd.Ez (V/m) @ lambda=3, k1=-0.36, k2=0.5        ewfd.Ez (V/m) @ lambda=3, k1=-0.34, k2=0.5        ewfd.Ez (V/m) @ lambda=3, k1=-0.32, k2=0.5        ewfd.Ez (V/m) @ lambda=3, k1=-0.3, k2=0.5         ewfd.Ez (V/m) @ lambda=3, k1=-0.28, k2=0.5        ewfd.Ez (V/m) @ lambda=3, k1=-0.26, k2=0.5        ewfd.Ez (V/m) @ lambda=3, k1=-0.24, k2=0.5        ewfd.Ez (V/m) @ lambda=3, k1=-0.22, k2=0.5        ewfd.Ez (V/m) @ lambda=3, k1=-0.2, k2=0.5         ewfd.Ez (V/m) @ lambda=3, k1=-0.18, k2=0.5        ewfd.Ez (V/m) @ lambda=3, k1=-0.16, k2=0.5        ewfd.Ez (V/m) @ lambda=3, k1=-0.14, k2=0.5        ewfd.Ez (V/m) @ lambda=3, k1=-0.12, k2=0.5        ewfd.Ez (V/m) @ lambda=3, k1=-0.1, k2=0.5         ewfd.Ez (V/m) @ lambda=3, k1=-0.08, k2=0.5        ewfd.Ez (V/m) @ lambda=3, k1=-0.06, k2=0.5        ewfd.Ez (V/m) @ lambda=3, k1=-0.04, k2=0.5        ewfd.Ez (V/m) @ lambda=3, k1=-0.02, k2=0.5        ewfd.Ez (V/m) @ lambda=3, k1=0, k2=0.5            ewfd.Ez (V/m) @ lambda=3, k1=0.02, k2=0.5         ewfd.Ez (V/m) @ lambda=3, k1=0.04, k2=0.5         ewfd.Ez (V/m) @ lambda=3, k1=0.06, k2=0.5         ewfd.Ez (V/m) @ lambda=3, k1=0.08, k2=0.5         ewfd.Ez (V/m) @ lambda=3, k1=0.1, k2=0.5          ewfd.Ez (V/m) @ lambda=3, k1=0.12, k2=0.5         ewfd.Ez (V/m) @ lambda=3, k1=0.14, k2=0.5         ewfd.Ez (V/m) @ lambda=3, k1=0.16, k2=0.5         ewfd.Ez (V/m) @ lambda=3, k1=0.18, k2=0.5         ewfd.Ez (V/m) @ lambda=3, k1=0.2, k2=0.5          ewfd.Ez (V/m) @ lambda=3, k1=0.22, k2=0.5         ewfd.Ez (V/m) @ lambda=3, k1=0.24, k2=0.5         ewfd.Ez (V/m) @ lambda=3, k1=0.26, k2=0.5         ewfd.Ez (V/m) @ lambda=3, k1=0.28, k2=0.5         ewfd.Ez (V/m) @ lambda=3, k1=0.3, k2=0.5          ewfd.Ez (V/m) @ lambda=3, k1=0.32, k2=0.5         ewfd.Ez (V/m) @ lambda=3, k1=0.34, k2=0.5         ewfd.Ez (V/m) @ lambda=3, k1=0.36, k2=0.5         ewfd.Ez (V/m) @ lambda=3, k1=0.38, k2=0.5         ewfd.Ez (V/m) @ lambda=3, k1=0.4, k2=0.5          ewfd.Ez (V/m) @ lambda=3, k1=0.42, k2=0.5         ewfd.Ez (V/m) @ lambda=3, k1=0.44, k2=0.5         ewfd.Ez (V/m) @ lambda=3, k1=0.46, k2=0.5         ewfd.Ez (V/m) @ lambda=3, k1=0.48, k2=0.5         ewfd.Ez (V/m) @ lambda=3, k1=0.5, k2=0.5
-0.007500000000000001     -0.005000000000000001    -1.5666409010831042                               -0.6862943720752555-0.2852855574495953i           -0.5486406331307863-0.5060148808806176i           -0.37704259300980425-0.6499080804211952i          -0.20597706225948204-0.7291595854371026i          -0.0503778874786864-0.763255424181616i            0.0859652785305083-0.7678700350548054i            0.2038139379804345-0.7536237367300989i            0.3053604310677635-0.7273622873554719i            0.3930051548544272-0.6934658405546257i            0.46893800861705165-0.6547577623565956i           0.5350299700851093-0.6130786771501149i            0.5928360088634608-0.5696411458870837i            0.6436320643391501-0.5252491943951195i            0.6884566764927218-0.48043548447878387i           0.7281466555348801-0.43554802199943377i           0.7633636270828017-0.390805687294293i             0.7946113847414147-0.3463344725832887i            0.8222456014412723-0.30219199026913124i           0.846478844088553-0.2583852566744113i             0.8673854501957153-0.2148851167247111i            0.8849124303952796-0.1716393740709331i            0.8989031348279022-0.12858534537139954i           0.9091382973456735-0.08566108660158302i           0.9153929567318801-0.04281332919247607i           0.9174986673224477                                0.9153929567318826+0.04281332919244583i           0.909138297345679+0.0856610866015811i             0.8989031348279133+0.12858534537135466i           0.8849124303952735+0.17163937407092775i           0.8673854501957055+0.21488511672475388i           0.8464788440885402+0.2583852566744587i            0.8222456014412508+0.30219199026918364i           0.7946113847414003+0.3463344725833193i            0.763363627082796+0.3908056872943111i             0.728146655534887+0.435548021999427i              0.6884566764927847+0.48043548447869155i           0.6436320643392134+0.525249194395038i             0.5928360088633663+0.5696411458871786i            0.5350299700849723+0.6130786771502343i            0.46893800861725976+0.6547577623564546i           0.3930051548546406+0.6934658405544969i            0.3053604310673671+0.7273622873556383i            0.20381393798006667+0.753623736730194i            0.08596527853051993+0.7678700350548262i           -0.05037788747842503+0.7632554241816303i          -0.2059770622577866+0.7291595854376064i           -0.3770425930093808+0.6499080804214797i           -0.5486406331294578+0.506014880882225i            -0.6862943720744444+0.28528555745129364i          -1.5666409011794435
-0.0025000000000000005    -0.005000000000000001    -0.58161213552467+2.377952991662003E-10i          -1.0559608052062723-0.3372105172660922i           -0.9204953272698315-0.6034420308528277i           -0.7546596349149253-0.7842998284958553i           -0.5927564815516605-0.8939531488745633i           -0.4481865647529238-0.9541785217051932i           -0.3231154279301063-0.9821236237337067i           -0.21559204258365683-0.9891080928380984i          -0.1227077595097032-0.982181950762878i            -0.04170438165911052-0.9656489882823681i          0.029728999489665862-0.9421004336839653i          0.09343768087816892-0.9130538281663951i           0.15086215313223683-0.8793391336144617i           0.20310907250132035-0.8413331107820465i           0.25101106175350957-0.799104772705797i            0.29517066095461864-0.7525102631851093i           0.33598930487755996-0.7012614686230286i           0.3736840883715514-0.6449849753235082i            0.40829613060355213-0.5832836581612669i           0.4396956528370524-0.5158099473146933i            0.4675906669111371-0.44235557954070004i           0.49154786639222003-0.3629554885126635i           0.5110344091270156-0.27799254815839286i           0.5254855839405783-0.1882771143298284i            0.5343943848948662-0.09506710389701119i           0.5374064872655715                                0.5343943848948747+0.09506710389699598i           0.525485583940584+0.18827711432982736i            0.5110344091270276+0.27799254815836966i           0.49154786639222325+0.36295548851266346i          0.4675906669111172+0.44235557954072663i           0.4396956528370212+0.5158099473147184i            0.40829613060350906+0.5832836581612928i           0.37368408837152445+0.6449849753235226i           0.33598930487754325+0.7012614686230357i           0.29517066095462613+0.7525102631851082i           0.2510110617536119+0.7991047727057666i            0.2031090725014221+0.8413331107820233i            0.150862153132091+0.8793391336144843i             0.093437680877961+0.9130538281664129i             0.02972899948996887+0.9421004336839608i           -0.04170438165881354+0.965648988282379i           -0.12270775951024104+0.9821819507628067i          -0.21559204258413822+0.9891080928379907i          -0.3231154279300897+0.982123623733714i            -0.4481865647525948+0.9541785217053559i           -0.5927564815495331+0.8939531488759928i           -0.7546596349144045+0.7842998284963631i           -0.9204953272681622+0.6034420308554326i           -1.0559608052051785+0.33721051726967743i          -0.581612135687416
0.0025000000000000005     -0.005000000000000001    0.4350795225702038+4.958737952023525E-10i         -1.077058329257679-0.2610197221309787i            -0.9959099555169485-0.4681937601762797i           -0.9013020560613852-0.6098518474437493i           -0.8150829046650117-0.696995107271336i            -0.7443109236715494-0.7463228319877085i           -0.6887172185381952-0.7709250766081795i           -0.6457980220447654-0.7793995250831685i           -0.6128831865332676-0.7770675745113751i           -0.5877364699363172-0.7671515091416526i           -0.5686266551502978-0.7515691302620958i           -0.5542485817546221-0.7314224006126923i           -0.5436222292751394-0.7072911619289346i           -0.5360057629590732-0.6794104863267205i           -0.5308281752394414-0.6477803601440977i           -0.5276386367093925-0.6122374377023774i           -0.5260682528188012-0.5725078129780548i           -0.5258006110696526-0.5282539196793014i           -0.5265487348674402-0.47912541899465133i          -0.5280374285319759-0.4248214158644827i           -0.5299914001603697-0.365167817608221i            -0.5321307935219437-0.30020749466199687i          -0.5341763511779565-0.23029139269554838i          -0.5358655879467349-0.15614762339771016i          -0.5369784920873016-0.07889843827161169i          -0.537366939165241                                -0.5369784920872919+0.07889843827163284i          -0.5358655879467299+0.1561476233977105i           -0.5341763511779498+0.23029139269558044i          -0.5321307935219441+0.3002074946619996i           -0.5299914001603829+0.36516781760819716i          -0.5280374285320024+0.4248214158644534i           -0.5265487348674753+0.47912541899461447i          -0.5258006110696716+0.5282539196792829i           -0.5260682528188168+0.572507812978041i            -0.5276386367093848+0.6122374377023849i           -0.5308281752393605+0.6477803601441691i           -0.5360057629589898+0.6794104863267924i           -0.543622229275257+0.7072911619288405i            -0.5542485817547874+0.731422400612565i            -0.5686266551500515+0.7515691302622807i           -0.5877364699360836+0.7671515091418453i           -0.6128831865336947+0.7770675745110334i           -0.6457980220451406+0.7793995250828505i           -0.6887172185381758+0.7709250766081773i           -0.7443109236712911+0.7463228319879798i           -0.8150829046633207+0.6969951072732996i           -0.9013020560609731+0.6098518474443326i           -0.9959099555155948+0.46819376017905756i          -1.0770583292567637+0.2610197221351852i           0.4350795223968571+5.138032494131221E-11i
0.007500000000000001      -0.005000000000000001    1.4686446709009766+6.302401413425656E-10i         -0.7342819902231345-0.11313994253306993i          -0.7183121278531226-0.20245524352202657i          -0.7046360663017189-0.2607538581649365i           -0.6986759857431186-0.2931502780948888i           -0.7004320782863679-0.30738877548721205i          -0.7079062196685674-0.3096553889681965i           -0.719028441961146-0.30413059090677497i           -0.7322317023759093-0.29351379898417856i          -0.7464700800537675-0.27954756957105936i          -0.7610932151374636-0.2633775106610993i           -0.7757186746545661-0.24577726175621958i          -0.7901350295089654-0.22728598552641097i          -0.8042345706335102-0.20829243055011204i          -0.8179672760318256-0.18908661430164525i          -0.8313081223563824-0.16989160061938482i          -0.8442319716503449-0.1508826847318311i           -0.8566924206393511-0.13219826548889593i          -0.8686030003103481-0.11394492939240257i          -0.8798211559337505-0.09619832010727322i          -0.8901376361422649-0.07900098384070962i          -0.8992759694168362-0.06235844722206864i          -0.9069076099027429-0.04623518279438023i          -0.9126864933637234-0.030552609503581907i         -0.9163009373862737-0.015191436807471504i         -0.9175320837908384                               -0.9163009373862684+0.015191436807503669i         -0.9126864933637215+0.03055260950358394i          -0.9069076099027443+0.046235182794429036i         -0.8992759694168424+0.062358447222070366i         -0.8901376361422662+0.07900098384066635i          -0.8798211559337562+0.09619832010722264i          -0.8686030003103562+0.11394492939234162i          -0.8566924206393515+0.13219826548886468i          -0.8442319716503492+0.15088268473180716i          -0.8313081223563775+0.16989160061939604i          -0.8179672760318062+0.1890866143017547i           -0.8042345706334891+0.2082924305502175i           -0.7901350295090053+0.2272859855262774i           -0.7757186746546215+0.24577726175604256i          -0.7610932151373696+0.2633775106613428i           -0.7464700800536848+0.2795475695713066i           -0.732231702376071+0.2935137989837713i            -0.7190284419612889+0.30413059090642364i          -0.7079062196685428+0.3096553889681794i           -0.7004320782862596+0.30738877548747084i          -0.6986759857423663+0.2931502780965832i           -0.7046360663015274+0.26075385816537017i          -0.7183121278524413+0.2024552435239904i           -0.7342819902226578+0.11313994253656985i          1.4686446707729128
-0.007500000000000001     0.005000000000000001     -1.4682456793661938-6.299007423430045E-10i        0.686512721928333+0.28206304733095333i            0.5490498333673351+0.5043750749270203i            0.3774734305805252+0.6487747279370079i            0.20641153150991742+0.7282646129343778i           0.05081714016709293+0.7624944397323099i           -0.08551657534267876+0.767193644456835i           -0.20335099443177318+0.7530058741945854i          -0.30487908601946434+0.7267882483001067i          -0.3925019431016129+0.6929270222760832i           -0.46841006673703833+0.6542491062408773i          -0.5344749291264607+0.6125973273795687i           -0.5922519129143985+0.5691857028572502i           -0.6430173223448443+0.524819278201233i            -0.6878100467757288+0.48003146835984456i          -0.727467261633147+0.43517086196251753i           -0.7626510042636028+0.3904568060544131i           -0.7938655567910291+0.34601567164873104i          -0.8214671858970992+0.3019053716716338i           -0.8456691799821332+0.2581331396344914i           -0.8665467348864351+0.21466993707931725i          -0.8840478414689834+0.17146355775987404i          -0.8980169018165373+0.12845115360603054i          -0.908235681878687+0.08557044047543208i           -0.9144801064606767+0.042767634031125316i         -0.9165823338178154                               -0.9144801064606782-0.04276763403109237i          -0.9082356818786852-0.08557044047543061i          -0.8980169018165446-0.12845115360598347i          -0.8840478414689761-0.17146355775986732i          -0.8665467348864271-0.21466993707935925i          -0.8456691799821208-0.25813313963454115i          -0.8214671858970825-0.30190537167168774i          -0.793865556791013-0.34601567164876046i           -0.7626510042635907-0.3904568060544269i           -0.7274672616331551-0.43517086196251004i          -0.6878100467757899-0.4800314683597481i           -0.6430173223449079-0.5248192782011439i           -0.5922519129143095-0.5691857028573487i           -0.5344749291263284-0.612597327379692i            -0.46841006673724506-0.6542491062407235i          -0.3925019431018366-0.6929270222759549i           -0.30487908601906005-0.7267882483002741i          -0.2033509944314059-0.753005874194694i            -0.08551657534268424-0.7671936444568198i          0.0508171401668062-0.7624944397323286i            0.20641153150812805-0.7282646129348617i           0.37747343058009686-0.6487747279372192i           0.5490498333658432-0.5043750749284903i            0.6865127219270903-0.28206304733425197i           -1.4682456792382326
-0.0025000000000000005    0.005000000000000001     -0.434325570014769-4.954645085699491E-10i         1.0557012388610396+0.3360093124177005i            0.9203381779202707+0.6026977758123389i            0.7545571628542552+0.7836705329372036i            0.5927017069829613+0.8933679747818379i            0.44817528630361314+0.9536160343442609i           0.3231441911104233+0.981576192242947i             0.21565812329800066+0.9885728460964291i           0.12280913054717646+0.9816579633360772i           0.04183960617890502+0.9651362936996218i           -0.029560892043598828+0.9415996526821938i         -0.0932373111540058+0.9125660261005506i           -0.15062989550746805+0.878865770916558i           -0.20284514915267804+0.840876034066522i           -0.25071563300735145+0.7986662240032598i          -0.2948439182894984+0.7520928953174194i           -0.33563157252001014+0.7008683574836767i          -0.373295938146209+0.6446196190001732i            -0.4078785120964718+0.5829499502709079i           -0.43925003624397835+0.5155121090306285i          -0.4671191885186448+0.44209803351997506i          -0.4910534566963109+0.36274266113943754i          -0.5105208733281318+0.2778285974486655i           -0.5249575989629731+0.1881656011034133i           -0.5338573829880929+0.09501065010347721i          -0.536866418190299                                -0.5338573829880964-0.0950106501034559i           -0.5249575989629764-0.18816560110341243i          -0.5105208733281515-0.277828597448637i            -0.4910534566963071-0.3627426611394325i           -0.4671191885186273-0.44209803351999877i          -0.439250036243947-0.5155121090306514i            -0.4078785120964343-0.5829499502709332i           -0.3732959381461832-0.6446196190001856i           -0.335631572519991-0.700868357483684i             -0.2948439182895108-0.7520928953174163i           -0.25071563300745714-0.7986662240032236i          -0.20284514915278484-0.840876034066492i           -0.15062989550732675-0.8788657709165859i          -0.09323731115380357-0.9125660261005758i          -0.029560892043897877-0.9415996526821819i         0.04183960617859232-0.9651362936996304i           0.122809130547718-0.9816579633360115i             0.21565812329847986-0.9885728460963294i           0.32314419111042186-0.9815761922429406i           0.4481752863032594-0.953616034344418i             0.5927017069808098-0.8933679747832484i            0.7545571628537436-0.7836705329376844i            0.9203381779185659-0.6026977758148857i            1.055701238859691-0.33600931242180343i            -0.4343255698415239-5.13346864933645E-11i
0.0025000000000000005     0.005000000000000001     0.5820333943255578-2.3738865339839273E-10i        1.076502778958348+0.2619450609591165i             0.9953237114683708+0.46851533981089394i           0.900747411582984+0.6099458410836603i             0.8145618931551727+0.6969717735028214i            0.7438162223502407+0.7462323198531267i            0.6882405282017455+0.7707941463459049i            0.6453321284881142+0.779243745370051i             0.6124222550123688+0.776896608401083i             0.5872758629972373+0.7669717131392745i            0.5681626745026332+0.7513849330058922i            0.5537782459436583+0.7312370767333335i            0.5431431079699117+0.7071072877197961i            0.5355158633995843+0.6792302199439172i            0.5303258719021472+0.6476056208605193i            0.5271226365983035+0.6120700242880793i            0.5255375910819068+0.5723494827271759i            0.5252546732412514+0.5281064388398831i            0.5259873022399307+0.4789905885740797i            0.5274607414598638+0.42470107231383325i           0.529400230149456+0.36506380534665i               0.5315265089854604+0.3001216072848642i            0.5335609552847994+0.23022528294690292i           0.5352417034607361+0.15610268905227825i           0.5363492721748548+0.07887570065422264i           0.5367358979861669                                0.5363492721748504-0.07887570065423989i           0.5352417034607319-0.15610268905228059i           0.5335609552847798-0.23022528294693123i           0.5315265089854627-0.30012160728486414i           0.529400230149473-0.3650638053466276i             0.527460741459891-0.4247010723138041i             0.5259873022399625-0.47899058857404714i           0.5252546732412737-0.528106438839863i             0.5255375910819244-0.5723494827271631i            0.527122636598295-0.6120700242880868i             0.5303258719020625-0.6476056208605872i            0.5355158633994964-0.6792302199439877i            0.5431431079700273-0.707107287719708i             0.5537782459438221-0.7312370767332103i            0.5681626745023959-0.7513849330060713i            0.5872758629969898-0.7669717131394576i            0.6124222550127967-0.7768966084007519i            0.6453321284884908-0.7792437453697436i            0.6882405282017524-0.7707941463459109i            0.7438162223499664-0.7462323198533871i            0.814561893153524-0.6969717735047593i             0.9007474115825941-0.6099458410842596i            0.9953237114671055-0.46851533981368576i           1.076502778957359-0.26194506096275133i            0.5820333944881684
0.007500000000000001      0.005000000000000001     1.5669814350516977                                0.7333337128195079+0.11610549194130688i           0.7172401998111686+0.20370563990563584i           0.7036235921986381+0.26139561775497566i           0.6977365809123057+0.29348763785304427i           0.6995538879579968+0.3075527468131711i            0.7070734856768056+0.30971332071506136i           0.7182268420401383+0.30412067197534326i           0.731449384682704+0.29345925311192617i            0.7456974906427014+0.27946335817921636i           0.760322667397444+0.26327377899630305i            0.774943940051138+0.24566122240362964i            0.7893510160352155+0.22716299820402502i           0.803437091869941+0.20816664529708567i            0.817152898622673+0.1889613662891926i             0.8304740793305884+0.16976965774326294i           0.843376132070416+0.15076640452901993i            0.8558133086419697+0.13208969405971618i           0.8676998570521443+0.11384586179517034i           0.8788940352134059+0.09611033419423408i           0.8891875178443096+0.07892545522685383i           0.8983048647450984+0.06229655072489721i           0.9059186212497843+0.04618788454744208i           0.9116837854739778+0.03052065358588989i           0.9152895833010023+0.015175330252286668i          0.9165177744140942                                0.9152895833010014-0.015175330252319767i          0.9116837854739754-0.030520653585893082i          0.9059186212497776-0.046187884547492356i          0.8983048647451041-0.06229655072490142i           0.8891875178443174-0.07892545522681392i           0.878894035213412-0.0961103341941868i             0.8676998570521534-0.11384586179511537i           0.8558133086419786-0.13208969405968665i           0.8433761320704279-0.1507664045290012i            0.8304740793305851-0.16976965774327618i           0.8171528986226524-0.18896136628929983i           0.8034370918699145-0.2081666452971935i            0.7893510160352544-0.2271629982038948i            0.7749439400511972-0.24566122240345395i           0.7603226673973662-0.2632737789965473i            0.7456974906426108-0.27946335817945095i           0.7314493846828666-0.29345925311153465i           0.7182268420402833-0.30412067197499887i           0.7070734856768202-0.30971332071507407i           0.6995538879578866-0.30755274681341266i           0.697736580911654-0.293487637854696i              0.7036235921984832-0.2613956177554671i            0.7172401998107037-0.2037056399076812i            0.733333712819139-0.1161054919431499i             1.5669814351479239
