% Model:              c4扩张收缩.mph
% Version:            COMSOL 5.4.0.225
% Date:               Apr 25 2021, 16:33
% Dimension:          2
% Nodes:              8
% Expressions:        51
% Description:        电场，z 分量
% Length unit:        m
% X                       Y                        ewfd.Ez (V/m) @ lambda=7, k1=-0.5, k2=0.5         ewfd.Ez (V/m) @ lambda=7, k1=-0.48, k2=0.5        ewfd.Ez (V/m) @ lambda=7, k1=-0.46, k2=0.5        ewfd.Ez (V/m) @ lambda=7, k1=-0.44, k2=0.5        ewfd.Ez (V/m) @ lambda=7, k1=-0.42, k2=0.5        ewfd.Ez (V/m) @ lambda=7, k1=-0.4, k2=0.5         ewfd.Ez (V/m) @ lambda=7, k1=-0.38, k2=0.5        ewfd.Ez (V/m) @ lambda=7, k1=-0.36, k2=0.5        ewfd.Ez (V/m) @ lambda=7, k1=-0.34, k2=0.5        ewfd.Ez (V/m) @ lambda=7, k1=-0.32, k2=0.5        ewfd.Ez (V/m) @ lambda=7, k1=-0.3, k2=0.5         ewfd.Ez (V/m) @ lambda=7, k1=-0.28, k2=0.5        ewfd.Ez (V/m) @ lambda=7, k1=-0.26, k2=0.5        ewfd.Ez (V/m) @ lambda=7, k1=-0.24, k2=0.5        ewfd.Ez (V/m) @ lambda=7, k1=-0.22, k2=0.5        ewfd.Ez (V/m) @ lambda=7, k1=-0.2, k2=0.5         ewfd.Ez (V/m) @ lambda=7, k1=-0.18, k2=0.5        ewfd.Ez (V/m) @ lambda=7, k1=-0.16, k2=0.5        ewfd.Ez (V/m) @ lambda=7, k1=-0.14, k2=0.5        ewfd.Ez (V/m) @ lambda=7, k1=-0.12, k2=0.5        ewfd.Ez (V/m) @ lambda=7, k1=-0.1, k2=0.5         ewfd.Ez (V/m) @ lambda=7, k1=-0.08, k2=0.5        ewfd.Ez (V/m) @ lambda=7, k1=-0.06, k2=0.5        ewfd.Ez (V/m) @ lambda=7, k1=-0.04, k2=0.5        ewfd.Ez (V/m) @ lambda=7, k1=-0.02, k2=0.5        ewfd.Ez (V/m) @ lambda=7, k1=0, k2=0.5            ewfd.Ez (V/m) @ lambda=7, k1=0.02, k2=0.5         ewfd.Ez (V/m) @ lambda=7, k1=0.04, k2=0.5         ewfd.Ez (V/m) @ lambda=7, k1=0.06, k2=0.5         ewfd.Ez (V/m) @ lambda=7, k1=0.08, k2=0.5         ewfd.Ez (V/m) @ lambda=7, k1=0.1, k2=0.5          ewfd.Ez (V/m) @ lambda=7, k1=0.12, k2=0.5         ewfd.Ez (V/m) @ lambda=7, k1=0.14, k2=0.5         ewfd.Ez (V/m) @ lambda=7, k1=0.16, k2=0.5         ewfd.Ez (V/m) @ lambda=7, k1=0.18, k2=0.5         ewfd.Ez (V/m) @ lambda=7, k1=0.2, k2=0.5          ewfd.Ez (V/m) @ lambda=7, k1=0.22, k2=0.5         ewfd.Ez (V/m) @ lambda=7, k1=0.24, k2=0.5         ewfd.Ez (V/m) @ lambda=7, k1=0.26, k2=0.5         ewfd.Ez (V/m) @ lambda=7, k1=0.28, k2=0.5         ewfd.Ez (V/m) @ lambda=7, k1=0.3, k2=0.5          ewfd.Ez (V/m) @ lambda=7, k1=0.32, k2=0.5         ewfd.Ez (V/m) @ lambda=7, k1=0.34, k2=0.5         ewfd.Ez (V/m) @ lambda=7, k1=0.36, k2=0.5         ewfd.Ez (V/m) @ lambda=7, k1=0.38, k2=0.5         ewfd.Ez (V/m) @ lambda=7, k1=0.4, k2=0.5          ewfd.Ez (V/m) @ lambda=7, k1=0.42, k2=0.5         ewfd.Ez (V/m) @ lambda=7, k1=0.44, k2=0.5         ewfd.Ez (V/m) @ lambda=7, k1=0.46, k2=0.5         ewfd.Ez (V/m) @ lambda=7, k1=0.48, k2=0.5         ewfd.Ez (V/m) @ lambda=7, k1=0.5, k2=0.5
-0.007500000000000001     -0.005000000000000001    0.07005451895965263-8.250259440983359E-7i         0.3211038421302948-0.17282034061727636i           0.34086085729581733-0.1938335262999113i           0.3952927050124678-0.15953945330732297i           0.4562854851745169-0.06287945885458948i           0.4503311480621225+0.1994683588253378i            0.07451698198216966+0.5164359296116452i           -0.22265373326275414+0.5017368285990164i          -0.34538785878360667+0.4592825263257324i          -0.41485505891992325+0.43293514460185695i         -0.46507029827244983+0.4163783773781991i          -0.5067428273664738+0.4052195941464319i           -1.5384850915125545-0.659207369763485i            -1.5247671278314208-0.6872595074297257i           -1.514289325685121-0.7073049772391217i            -1.5075803279926874-0.7189333517012332i           -1.5055196419907484-0.720839726056694i            -1.5089649738373205-0.7113505407258707i           -1.5186083234755094-0.6884136780789005i           -1.5347641584054965-0.6496141219797724i           -1.5570559394333432-0.592320356755279i            -1.5840229543376387-0.514081681584652i            -1.6127739016686908-0.41340635544501453i          -1.6389791212074596-0.29092223582021004i          -1.6575825568779794-0.15056765405118072i          -1.6643428998837593+9.887433550276938E-8i         -1.6575825592493076+0.1505675434732708i           -1.638979071669476+0.29092238980586543i           -1.6127738368672933+0.413406488787899i            -1.5840228275908714+0.5140819583648732i           -1.557055768905199+0.5923206555568447i            -1.5347639412192884+0.6496144344587599i           -1.5186080877348533+0.6884139576959554i           -1.5089646516252782+0.7113509484615799i           -1.5055192835209543+0.7208402290118695i           -1.5075798644423593+0.7189340929023971i           -1.5142888370297685+0.7073058371720842i           -1.5247665330375437+0.6872607941901017i           -1.5384871924228607+0.6592049162385243i           -0.5067376590056998-0.405216718863884i            -0.4650700271139905-0.41637833111367295i          -0.414854953692104-0.4329350921243905i            -0.3453878344404541-0.4592825308689717i           -0.22265368596023502-0.5017368564725461i          0.07451705463190941-0.5164359182432893i           0.45033115324392803-0.19946834879638178i          0.45628548862723817+0.06287946491327609i          0.39529271367065555+0.15953942991663975i          0.34086085444725595+0.1938335180828713i           0.3211035275387907+0.1728206079410206i            0.07005378935725183-8.005301689312447E-7i
-0.0025000000000000005    -0.005000000000000001    1.264851912398021+2.8026587993338453E-6i          0.26119288069887614-0.4165255803388328i           0.0530346223492832-0.5218675016233182i            -0.0511451068429669-0.5650323373166966i           -0.048008747973052976-0.6097171418753606i         0.19516380695126342-0.6240196418830212i           0.641756943479807-0.26214017605301215i            0.7283591140986745+0.05093906280904203i           0.7481047437008579+0.16063485677347142i           0.7726240021136527+0.20306344252695863i           0.8021931943902465+0.21959009967218146i           0.8345625162886374+0.22366137919974255i           -0.2618073467287405-0.14531271026217238i          -0.2629786458184922-0.15624987895120984i          -0.265816904342845-0.16439792186323707i           -0.2699410355513564-0.1699358021546447i           -0.27541481826232306-0.17262155158118836i         -0.28232253593799345-0.1720931703246321i          -0.29070583584340925-0.16788018507415478i         -0.3005007934412309-0.15941251581683774i          -0.3114530748708295-0.1460604818540844i           -0.3230165257703257-0.1272374159914531i           -0.3342689484640057-0.10259832192683174i          -0.3439222200602209-0.07233491247791633i          -0.35052490730839425-0.037477782982245494i        -0.35288204415713176+2.6474700435127473E-8i       -0.3505249087563851+0.037477759825928755i         -0.34392220468720924+0.07233496048118833i         -0.3342689424494495+0.10259836184303697i          -0.3230165126775699+0.12723749645109383i          -0.3114530727088484+0.14606056551087207i          -0.30050078797032914+0.15941260704033094i         -0.2907058421772469+0.16788027075637693i          -0.28232252742251956+0.17209328840416727i         -0.27541480169775845+0.17262165365420806i         -0.2699409467481672+0.16993589016981395i          -0.2658167658879849+0.16439794148770415i          -0.26297842353662104+0.15624987983833158i         -0.2618075128654394+0.1453100069723554i           0.8345645062968073-0.22365625288239407i           0.8021935376117537-0.21958951474948796i           0.7726241069385644-0.2030630903859869i            0.7481048129714566-0.16063467205461598i           0.7283591539962104-0.05093888696105106i           0.6417568771572661+0.26214036341838187i           0.19516372412252395+0.62401967460964i             -0.048008821745206924+0.6097171453476041i         -0.0511451391580107+0.5650323467302149i           0.05303455799603393+0.521867537249385i            0.2611926571953621+0.4165261202407913i            1.2648534724143574+2.7332301285705122E-6i
0.0025000000000000005     -0.005000000000000001    0.4326672191894095+2.8792506331081547E-6i         -0.43007005134070064+0.23415822474081857i         -0.4547573321024517+0.25981285787339053i          -0.5269277886307566+0.20853732208707165i          -0.6067507997226428+0.07162893021004353i          -0.5877886506383245-0.2847916867342298i           -0.06450665319454942-0.6894790557537075i          0.3392411680624506-0.6456180923109212i            0.5078802065822343-0.5710780065723992i            0.6054506778340702-0.5195987900104277i            0.6768179021431752-0.4813610940841003i            0.7360097567233382-0.44967227284397493i           0.09128555600389845-0.28528613768082606i          0.05950209483814808-0.30103921481886087i          0.025326334083589287-0.312605774348148i           -0.010962362988468774-0.31990530730934474i        -0.049315232442800484-0.3224154625638894i         -0.08960477854414536-0.31943277359914873i         -0.13153688767478133-0.3100713660788764i          -0.17453538286075623-0.29327310357699843i         -0.21758344971162838-0.26787552545637056i         -0.2590411901940534-0.23279445808177587i          -0.2965130664855464-0.18737977900659145i          -0.3269188655128537-0.13194550859843188i          -0.34695429936822136-0.06831337984085051i         -0.3539742583714137+2.5606694320392294E-8i        -0.3469543074930831+0.06831336312516777i          -0.32691886115469493+0.13194552393231998i         -0.29651307015049744+0.18737978848977266i         -0.259041168815357+0.23279448926189727i           -0.2175834240287291+0.2678755510160118i           -0.17453534745750676+0.29327311826326447i         -0.13153685366960774+0.31007136204299296i         -0.08960471986882572+0.319432750109931i           -0.04931517563824622+0.3224154237926465i          -0.010962263667892167+0.31990518056463596i        0.025326383872763477+0.3126056443172105i          0.05950208726833421+0.301039197576635i            0.09128556314527748+0.28528568475513466i          0.7360096605752341+0.44967385097896323i           0.6768179171570718+0.48136126189113226i           0.6054506373645866+0.5195989076712308i            0.5078801692282111+0.5710780545134106i            0.33924108167223627+0.645618139047689i            -0.06450679696847067+0.6894790305525903i          -0.5877886603600979+0.2847916336989874i           -0.60675077108137-0.07162898016609277i            -0.5269277324290778-0.20853734478529565i          -0.45475719350136495-0.2598129194307245i          -0.4300690353057294-0.2341589483194061i           0.4326693489061253+2.7989212972408022E-6i
0.007500000000000001      -0.005000000000000001    -0.5475039919441661-7.736801421851016E-7i         -0.1928053081067196+0.31073688390070653i          -0.03914529761027938+0.39081963696421285i         0.03528948091206074+0.4253638150745997i           0.02689404956319798+0.46031781353882933i          -0.16352856654198614+0.4651101547786749i          -0.49289176226697573+0.17273749314357847i         -0.5443368237561482-0.074794497565698i            -0.5505553251299883-0.16671071842569973i          -0.5629296333457475-0.20844306608127994i          -0.5807531945431795-0.23110841521835143i          -0.6025476773776989-0.24422989761689992i          0.6719438568334505-1.5331166819414568i            0.505899614394836-1.5940596903895492i             0.32708269286784913-1.6388940483490755i           0.1364198279012281-1.6645160389816251i            -0.06555767217445484-1.6677651489915024i          -0.2778975624069235-1.6447781926597127i           -0.4988038750127425-1.590848914923831i            -0.7250436573137454-1.5004427685440453i           -0.9511356485460263-1.3675243428823198i           -1.1684240891644293-1.1864687199586053i           -1.3644155443768318-0.9538492171397259i           -1.52316020733842-0.671107095403406i              -1.6276218413628099-0.3472909630178236i           -1.664196685495265+9.558218729087136E-8i          -1.6276218607455042+0.34729085234712476i          -1.5231601582663647+0.671107206583083i            -1.3644154904541634+0.9538492915126048i           -1.16842391301378+1.1864688861750257i             -0.9511354304321032+1.3675244867112293i           -0.7250434085252818+1.5004428893425001i           -0.49880364847997577+1.5908490069543486i          -0.27789718411608527+1.6447782640627646i          -0.06555718442173385+1.667765138103531i           0.13642054099752998+1.6645159662430626i           0.3270835390019661+1.638893798656056i             0.5059008815612946+1.5940589853257525i            0.6719407689341851+1.5331181586727505i            -0.6025439462970078+0.24422332949775033i          -0.5807530611209697+0.23110794524018316i          -0.5629295173748793+0.20844284661712847i          -0.5505552731977874+0.16671063175929784i          -0.5443367889786422+0.07479439775965445i          -0.4928916750398176-0.17273757521554944i          -0.16352852742125998-0.4651101313017677i          0.026894062536172072-0.4603177861799035i          0.035289463737067046-0.42536378347252846i         -0.039145295557160155-0.3908196127725264i         -0.1928050528795305-0.3107370643119501i           -0.5475042995674323-7.562231631181123E-7i
-0.007500000000000001     0.005000000000000001     0.5461367473024856+7.713918435372511E-7i          0.3209930166555912-0.17209287732286407i           0.3404020655978322-0.19306840779860793i           0.39465961310573744-0.15884502033851303i          0.4554630580368209-0.06237382119999838i           0.44934504780437945+0.19943970031308547i          0.07402173095247777+0.5155570656303561i           -0.2226014178673688+0.5007008134298532i           -0.3451182457330243+0.45823465230780275i          -0.4145182231192154+0.43181300561305785i          -0.4648119949113669+0.41497358971805126i          -0.5071572803022403+0.40232208578944967i          1.5384105603211853+0.6579049804189164i            1.5245273916064777+0.6868002122399132i            1.5140234443224303+0.7069814499140586i            1.5073034719247056+0.7186660710702114i            1.505235867882549+0.7206048078791194i             1.5086753249852434+0.7111388831399565i            1.5183127118675435+0.6882218629574341i            1.5344619776039936+0.6494417083820249i            1.5567464382952418+0.5921687688535602i            1.5837056066535702+0.5139536195043964i            1.6124487502082414+0.41330537501766856i           1.638647182698315+0.29085211509357617i            1.6572458987979695+0.15053163573059325i           1.6640045466916977-1.0720523694868848E-7i         1.6572459159173067-0.15053151592879216i           1.6386471801845974-0.29085225535714365i           1.6124487547717172-0.41330549037246017i           1.5837055497789976-0.5139538929686686i            1.5567463640402042-0.5921690568720904i            1.5344618988517986-0.6494420171781647i            1.5183126606902224-0.6882221391926118i            1.5086752268083872-0.711139262359483i             1.5052357254819737-0.720605249306975i             1.5073032704739697-0.7186666207133353i            1.5140231757199318-0.7069820736245882i            1.524526770772147-0.686801318837455i              1.5384101229431422-0.6579006428591995i            -0.5071582028341742-0.40232913219257244i          -0.4648117039610148-0.4149742033684582i           -0.41451801761358076-0.43181327420848264i         -0.3451180866844731-0.45823477187370376i          -0.22260125374229467-0.5007008778602093i          0.07402191479707682-0.5155570338264764i           0.4493450852069703-0.1994396057377041i            0.4554630414302238+0.0623739185920032i            0.3946595864692742+0.15884509373978611i           0.3404020056890272+0.19306853708547617i           0.32099277109618995+0.17209363871688207i          0.5461370558952244+7.552080376121176E-7i
-0.0025000000000000005    0.005000000000000001     -0.43202741488929436-2.8819948039136E-6i          0.2589900479567526-0.417006723945151i             0.05218780172724164-0.5223367891540154i           -0.051626743676156675-0.5655358952766584i         -0.04823548821633279-0.6102688156024022i          0.19531549154607342-0.624550032160363i            0.6422794439375007-0.2622290973264142i            0.7288119681514554+0.05119183377866192i           0.7484374039604808+0.16102147763706176i           0.7728412314895734+0.2035089161825054i            0.8022839754661787+0.22003233061072242i           0.834444420822757+0.22386366348142595i            0.26155114688120956+0.1463977651725242i           0.26372170204336676+0.15682054344952928i          0.26670569970884694+0.1648929906429225i           0.2708795878318164+0.17040134896138076i           0.27637470202729103+0.17306821689425186i          0.28329313456375316+0.17252177889865114i          0.2916835905881512+0.16828710746613076i           0.3014854834715674+0.1597913183529727i            0.3124461117476298+0.14640247682359983i           0.32401969770601874+0.12753210313097318i          0.33528333324556286+0.10283408035869204i          0.34494720770038184+0.07250024708304836i          0.3515576122726805+0.037563178374718564i          0.3539175977864135-1.716881487174355E-8i          0.35155761529839225-0.03756314910575579i          0.34494720449642485-0.0725002748794498i           0.3352833357629345-0.10283409488373291i           0.3240196900632887-0.12753214987588332i           0.31244611279863577-0.1464025221806501i           0.3014854809330147-0.1597913650294813i            0.2916835844881796-0.16828714468801795i           0.2832931040707605-0.17252183153173864i           0.2763746444113026-0.17306825182400343i           0.2708794640030112-0.17040138796022986i           0.2667055514178805-0.16489295278417226i           0.2637216900240574-0.15682042040019156i           0.26155190003567863-0.14639841583624916i          0.834443280558566-0.22386137436964165i            0.8022839290654822-0.22003195429784578i           0.7728412136000292-0.2035087034740132i            0.7484374116920312-0.16102133826119452i           0.7288119669107382-0.05119167327796775i           0.6422793603076178+0.26222926965579557i           0.19531540193757158+0.6245500570364356i           -0.048235582687699216+0.6102688005699202i         -0.051626831206769676+0.5655358674244761i         0.05218760976478097+0.5223367587801675i           0.25898872644957843+0.4170070682610094i           -0.43202954546522115-2.801206640414692E-6i
0.0025000000000000005     0.005000000000000001     -1.2658427743203196-2.8098709598055E-6i           -0.4329376011115111+0.2338611541145111i           -0.45615903996647034+0.25975615868064933i         -0.5279818895154811+0.20851069663423555i          -0.607661377862467+0.07152138907046722i           -0.5885242070191298-0.28521818543344335i          -0.06464753826969169-0.6902811926925762i          0.33943946978379397-0.6463883430843635i           0.5081484507312405-0.5718200081633935i            0.6057177095148849-0.5203505823340556i            0.6770832555444647-0.48215574115548754i           0.7364613485225592-0.4506243273861749i            -0.09132635939525206+0.28648040694161975i         -0.0592226499499348+0.3011333810499772i           -0.025036684557631795+0.3125137073904299i         0.011224785279193131+0.319734676515414i           0.04953717812710937+0.3222033285404775i           0.08977949293137592+0.31919860906950237i          0.13166048259637766+0.30982877692564664i          0.1746059287117303+0.2930336637829905i            0.217600938888602+0.2676503078183792i             0.2590079557876385+0.23259466711487373i           0.29643444299581956+0.18721664650524453i          0.32680377341593236+0.13182954354449908i          0.3468153584950281+0.06825301899998894i           0.3538269993941617-2.289940708109696E-8i          0.3468153603430976-0.06825300016701726i           0.32680375654751337-0.13182957202923692i          0.2964344309196434-0.18721666922790461i           0.259007918661954-0.23259471139874613i            0.2176008961643592-0.2676503502775224i            0.1746058768895021-0.2930336961347061i            0.13166042833829739-0.30982880461183726i          0.08977940108124764-0.3191986133183311i           0.0495370670735627-0.3222033033582161i            0.01122463305079436-0.3197345861911653i           -0.025036843954665756-0.3125135750796089i         -0.05922281499435656-0.30113318169780384i         -0.09132395690359266-0.2864821715590482i          0.7364596613368097+0.4506261888579736i            0.6770830535956358+0.4821558480891332i            0.6057176421906577+0.5203507019395763i            0.5081483905772282+0.5718200820548798i            0.3394393660310673+0.6463884096403059i            -0.06464768673851112+0.6902812139695144i          -0.5885242655067224+0.28521814438375687i          -0.6076614139023482-0.07152145650406563i          -0.5279819451906109-0.20851073840937906i          -0.4561590979916094-0.25975627945629415i          -0.43293782794745345-0.23386194107145097i         -1.2658443369381431-2.741197783577409E-6i
0.007500000000000001      0.005000000000000001     -0.0709878959777799+8.273599404466805E-7i         -0.1925073650253705+0.310849153100668i            -0.03941867910527056+0.39091406850934957i         0.03473515413400697+0.42542383050278637i          0.026134528495500346+0.4602488950211826i          -0.16431045112561068+0.4645983731823297i          -0.4929389203884703+0.17164919287910307i          -0.5437829515165352-0.07590553641328238i          -0.5497067207620155-0.16783717582587576i          -0.5618264213337465-0.2096529441819058i           -0.5792360498237759-0.2325057842107257i           -0.5994102979378659-0.24631963053417083i          -0.6707928723498761+1.5325351978020807i           -0.5055772865456172+1.5937700406563113i           -0.3269095240989096+1.638650142202556i            -0.13631923003064278+1.6642911747007763i          0.0656090749660721+1.6675524847521457i            0.2779095580413289+1.6445763948889522i            0.4987813452258631+1.5906589689377917i            0.7249894876917917+1.5002671210279854i            0.9510520853074731+1.3673665858619246i            1.1683136108186742+1.1863333220773602i            1.364281541993478+0.9537412207651766i             1.5230075470619935+0.6710315077344757i            1.6274570499049645+0.3472519818001188i            1.6640276635004385-1.1141062627296076E-7i         1.6274570780086868-0.3472518680215852i            1.5230074686901074-0.6710316684063109i            1.3642814445822686-0.9537413354599882i            1.1683133614124621-1.1863335415898888i            0.9510517779499614-1.3673667719717342i            0.7249891216348994-1.5002672779738402i            0.4987809782887176-1.5906590573796862i            0.27790902063704803-1.6445764746545457i           0.06560843373904562-1.6675525332689025i           -0.1363201032862503-1.6642911800974651i           -0.32691048031993486-1.6386501258156048i          -0.5055787135469482-1.5937700012486737i           -0.67078972938073-1.5325366437205816i             -0.5994149875169421+0.24632230179501355i          -0.5792363747664907+0.23250577265698946i          -0.5618265673538584+0.2096529233641659i           -0.5497068037804813+0.1678371152126944i           -0.5437830135201027+0.07590542698718145i          -0.4929389032906202-0.17164932958376328i          -0.16431039854002089-0.46459842017330455i         0.02613459831863302-0.46024892522642347i          0.03473522232590245-0.42542385347293027i          -0.03941852554411156-0.39091411687514216i         -0.19250651276900924-0.31084969544820573i         -0.07098716647949466+8.017111313732465E-7i
