% Model:              c4扩张收缩.mph
% Version:            COMSOL 5.4.0.225
% Date:               Apr 25 2021, 16:30
% Dimension:          2
% Nodes:              8
% Expressions:        51
% Description:        电场，z 分量
% Length unit:        m
% X                       Y                        ewfd.Ez (V/m) @ lambda=8, k1=-0.5, k2=0.5         ewfd.Ez (V/m) @ lambda=8, k1=-0.48, k2=0.5        ewfd.Ez (V/m) @ lambda=8, k1=-0.46, k2=0.5        ewfd.Ez (V/m) @ lambda=8, k1=-0.44, k2=0.5        ewfd.Ez (V/m) @ lambda=8, k1=-0.42, k2=0.5        ewfd.Ez (V/m) @ lambda=8, k1=-0.4, k2=0.5         ewfd.Ez (V/m) @ lambda=8, k1=-0.38, k2=0.5        ewfd.Ez (V/m) @ lambda=8, k1=-0.36, k2=0.5        ewfd.Ez (V/m) @ lambda=8, k1=-0.34, k2=0.5        ewfd.Ez (V/m) @ lambda=8, k1=-0.32, k2=0.5        ewfd.Ez (V/m) @ lambda=8, k1=-0.3, k2=0.5         ewfd.Ez (V/m) @ lambda=8, k1=-0.28, k2=0.5        ewfd.Ez (V/m) @ lambda=8, k1=-0.26, k2=0.5        ewfd.Ez (V/m) @ lambda=8, k1=-0.24, k2=0.5        ewfd.Ez (V/m) @ lambda=8, k1=-0.22, k2=0.5        ewfd.Ez (V/m) @ lambda=8, k1=-0.2, k2=0.5         ewfd.Ez (V/m) @ lambda=8, k1=-0.18, k2=0.5        ewfd.Ez (V/m) @ lambda=8, k1=-0.16, k2=0.5        ewfd.Ez (V/m) @ lambda=8, k1=-0.14, k2=0.5        ewfd.Ez (V/m) @ lambda=8, k1=-0.12, k2=0.5        ewfd.Ez (V/m) @ lambda=8, k1=-0.1, k2=0.5         ewfd.Ez (V/m) @ lambda=8, k1=-0.08, k2=0.5        ewfd.Ez (V/m) @ lambda=8, k1=-0.06, k2=0.5        ewfd.Ez (V/m) @ lambda=8, k1=-0.04, k2=0.5        ewfd.Ez (V/m) @ lambda=8, k1=-0.02, k2=0.5        ewfd.Ez (V/m) @ lambda=8, k1=0, k2=0.5            ewfd.Ez (V/m) @ lambda=8, k1=0.02, k2=0.5         ewfd.Ez (V/m) @ lambda=8, k1=0.04, k2=0.5         ewfd.Ez (V/m) @ lambda=8, k1=0.06, k2=0.5         ewfd.Ez (V/m) @ lambda=8, k1=0.08, k2=0.5         ewfd.Ez (V/m) @ lambda=8, k1=0.1, k2=0.5          ewfd.Ez (V/m) @ lambda=8, k1=0.12, k2=0.5         ewfd.Ez (V/m) @ lambda=8, k1=0.14, k2=0.5         ewfd.Ez (V/m) @ lambda=8, k1=0.16, k2=0.5         ewfd.Ez (V/m) @ lambda=8, k1=0.18, k2=0.5         ewfd.Ez (V/m) @ lambda=8, k1=0.2, k2=0.5          ewfd.Ez (V/m) @ lambda=8, k1=0.22, k2=0.5         ewfd.Ez (V/m) @ lambda=8, k1=0.24, k2=0.5         ewfd.Ez (V/m) @ lambda=8, k1=0.26, k2=0.5         ewfd.Ez (V/m) @ lambda=8, k1=0.28, k2=0.5         ewfd.Ez (V/m) @ lambda=8, k1=0.3, k2=0.5          ewfd.Ez (V/m) @ lambda=8, k1=0.32, k2=0.5         ewfd.Ez (V/m) @ lambda=8, k1=0.34, k2=0.5         ewfd.Ez (V/m) @ lambda=8, k1=0.36, k2=0.5         ewfd.Ez (V/m) @ lambda=8, k1=0.38, k2=0.5         ewfd.Ez (V/m) @ lambda=8, k1=0.4, k2=0.5          ewfd.Ez (V/m) @ lambda=8, k1=0.42, k2=0.5         ewfd.Ez (V/m) @ lambda=8, k1=0.44, k2=0.5         ewfd.Ez (V/m) @ lambda=8, k1=0.46, k2=0.5         ewfd.Ez (V/m) @ lambda=8, k1=0.48, k2=0.5         ewfd.Ez (V/m) @ lambda=8, k1=0.5, k2=0.5
-0.007500000000000001     -0.005000000000000001    -1.0886900317131365-2.7434569529504043E-10i       -1.2764052292908445-0.06647818737738223i          -1.5730231930640195-0.1463150928733219i           -1.649630496404157-0.21187711731450506i           -1.6552857129733403-0.27283083545749415i          -1.64703291426686-0.3321732258520188i             -1.6343735918421447-0.3896096268361186i           -1.619502571576437-0.4445318315596067i            -1.6033015660186052-0.4963482577248708i           -1.5863867346192606-0.5444979697058838i           -1.5693328954705754-0.5884484189862547i           -1.5526064345340411-0.6279196426455067i           -0.5460376671343958+0.3924236646830454i           -0.58154846013482+0.383805878719106i              -0.6163718124175024+0.372617271419874i            -0.6502580551298822+0.35858731488441414i          -0.6828986552378083+0.34081404325238895i          -0.7137345952100607+0.31860359643037195i          -0.742084278417001+0.29157988899792514i           -0.7672875868129224+0.2597342716424056i           -0.7888295647502718+0.2234138607111315i           -0.8064076472763126+0.18324245899976288i          -0.8199283455260565+0.14000439743673815i          -0.8294473595861586+0.09452911637690249i          -0.8350860778672708+0.047614211199096854i         -0.8369516486845135+5.738755015434029E-8i         -0.8350857869202569-0.047614330828417976i         -0.8294463618627398-0.09452922866620111i          -0.8199271731868681-0.14000425908994127i          -0.8064062620854558-0.1832420936299869i           -0.7888282924443689-0.22341335471999485i          -0.7672858350340973-0.2597332743241167i           -0.742082827386005-0.2915787063082087i            -0.7137334266162251-0.31860250145634267i          -0.6828980046145939-0.3408126473341301i           -0.6502581830308666-0.3585864213746199i           -0.6163719895361416-0.3726161156372885i           -0.5815477236805189-0.3838037652988596i           -0.546040091801279-0.39242050748809565i           -1.5526070592343304+0.6279183477899184i           -1.5693332611506756+0.5884478421083537i           -1.5863870523486532+0.5444974681178396i           -1.6033017591834495+0.49634789941745633i          -1.6195027706850418+0.44453139751783344i          -1.634373819302465+0.38960905868413787i           -1.647033169030256+0.3321723888710798i            -1.6552860257442061+0.2728294288987789i           -1.6496309154567257+0.21187461314606731i          -1.5730239120137164+0.14631013297271425i          -1.276405785427032+0.06647237750329792i           -1.0886900317158315-2.8542852116644485E-10i
-0.0025000000000000005    -0.005000000000000001    -0.7367928070469142-2.2052939747127516E-10i       -0.6757333341956655+0.19330157324471942i          -0.4981416587811961+0.18020843678558787i          -0.37297994939882334+0.09860151004194245i         -0.3185209103870735+0.041133229526669736i         -0.2925381249819328+1.0639778395046557E-4i        -0.2784644621719166-0.03196839211526919i          -0.2701665623294963-0.05856470571949505i          -0.26507797262589927-0.08134956864871701i         -0.26201007018063843-0.10117605280631627i         -0.26036350018274973-0.11850619288420237i         -0.25965054821789296-0.13372581796390282i         0.8682627476949996+0.2187324405541199i            0.9025351190255126+0.21042938579023196i           0.9365490625763289+0.1977851354056245i            0.9696044636799671+0.18199888018227883i           1.000953553114901+0.16378556631758986i            1.0298462707583964+0.14386619984871218i           1.0556127315140726+0.12303207433087043i           1.077758345298571+0.10210698080423879i            1.0960337440799488+0.08184376635123741i           1.1104415249489803+0.0628047307917544i            1.1211792638178715+0.045268883351792105i          1.128542740872139+0.029201353477806218i           1.1328218802565313+0.014286022693953938i          1.1342242128811555-1.61642311729662E-7i           1.1328218516108226-0.014285634767996295i          1.1285429329839172-0.02920098716864725i           1.1211795705971077-0.045268686882203646i          1.1104415228798792-0.0628046531650437i            1.0960333655615042-0.08184435969343323i           1.0777580502605704-0.10210728949751735i           1.0556122906551244-0.12303236133380757i           1.029846122881422-0.14386662456921692i            1.0009540005707092-0.16378686806292186i           0.9696052679354431-0.18199941025661126i           0.9365501267030407-0.1977863608583616i            0.9025355382795341-0.21043094548973718i           0.8682621292898987-0.21873213652806928i           -0.2596495761260489+0.13372683182665202i          -0.26036338441382695+0.11850638145761638i         -0.2620100302875118+0.1011761521865851i           -0.26507796506384446+0.08134966659983339i         -0.2701665704624461+0.05856474036296973i          -0.27846448103640525+0.031968359359765344i        -0.29253812478745206-1.0651133347170261E-4i       -0.3185207510815666-0.04113353708307853i          -0.37297954130297556-0.09860221655080241i         -0.49814062186332436-0.18021038258972996i         -0.6757324894711676-0.193304410989144i            -0.7367928070473587-2.072640014656595E-10i
0.0025000000000000005     -0.005000000000000001    0.73802909784319+1.8455399140757583E-10i          0.6919215351349882+0.1309317863010954i            0.5191775368850635+0.1127559299271614i            0.38613479850526605+0.0312903923702431i           0.3212201091681773-0.031949406350613545i          0.28270046497867773-0.08141196657076835i          0.25375585383585875-0.12287871569832254i          0.2281106474756798-0.15904049052434444i           0.2031186321840901-0.19113980103405873i           0.1775364936489681-0.21975609483997782i           0.15074063801059573-0.24514544622157852i          0.12252134224986447-0.2675045755745699i           0.7889298271013006-0.4221668790173327i            0.8373146827387673-0.3944731726606628i            0.8826836302535088-0.3668099753129789i            0.9252306595985967-0.3380655783604248i            0.9647656638167086-0.3077553263312937i            1.000841862813076-0.2757469785667179i             1.0329277894015396-0.24221392247625692i           1.0605670821612503-0.20756534142246727i           1.0834984960143423-0.17233485876164098i           1.1017025321744092-0.1370438497022467i            1.115367095298092-0.10208139968961093i            1.124796430746547-0.06763354066487008i            1.1303017302554663-0.033671658744484884i          1.1321098947490476-2.0331286335687538E-7i         1.130301535343891+0.03367219445405012i            1.124796307124987+0.06763272902082955i            1.115366821610517+0.10208052477877183i            1.101702468688663+0.137042496053054i              1.0834982122654906+0.1723336384973836i            1.060567076453936+0.2075643229515549i             1.0329279666315665+0.24221327044447286i           1.0008421474377456+0.27574647534635505i           0.9647658234108548+0.3077546535772442i            0.925230900244509+0.3380654159446322i             0.8826837908063616+0.3668098478004141i            0.8373150560356042+0.3944731598452168i            0.7889297778499232+0.4221675984840036i            0.12252238455313509+0.26750521626735224i          0.15074083862153848+0.24514544706255295i          0.17753668045762416+0.21975603528560245i          0.20311881260028455+0.19113974350144558i          0.2281108381454841+0.1590404416520719i            0.25375608173908526+0.12287868767441015i          0.2827007940311394+0.08141204874933176i           0.32122050162668625+0.03194969651960939i          0.3861353587168142-0.03128969392007411i           0.5191783940899656-0.1127539835581797i            0.6919221162768584-0.130929327777676i             0.73802909784269+1.683343462515192E-10i
0.007500000000000001      -0.005000000000000001    1.0885133221246424+2.6838676838727654E-10i        1.2648675824510216-0.18234250535240049i           1.5397945714748071-0.3523963857464823i            1.5866622292699752-0.49798388578927716i           1.551464815040058-0.6377142802136568i             1.4906606328933112-0.7747929906260403i            1.4136624989638638-0.9076591269182098i            1.3225828336816867-1.0346387968399386i            1.2181659137845775-1.1542519713558062i            1.1008225164932792-1.2651256960107526i            0.9708734102939713-1.3658863318057883i            0.8288518788482758-1.4548671232719101i            -0.6226481778506326-0.2526082911726124i           -0.6488491302925372-0.25510087305050166i          -0.6747358257559167-0.25374756267191195i          -0.7006566934723615-0.24824932075449369i          -0.7259280427310462-0.23845967382309077i          -0.7497545889192926-0.22430508116204062i          -0.7713727783043608-0.20588281783055157i          -0.790172320389932-0.1835102488391206i            -0.8057850144415624-0.157708973814501i            -0.8181117253573187-0.12913347132558278i          -0.827276910602086-0.09847417306358162i           -0.833532812920631-0.06637650494600533i           -0.837151141089172-0.03339556318189525i           -0.8383329708723232+1.0988416887993524E-8i        -0.8371510196942271+0.03339543501877495i          -0.8335330708938219+0.06637557403273607i          -0.8272773753461283+0.09847307469899433i          -0.818112391163723+0.1291321598015557i            -0.8057860993176489+0.15770817540810686i          -0.7901736246090623+0.18350921093127656i          -0.7713741443177063+0.20588183085596298i          -0.7497559700366144+0.22430416574381792i          -0.7259297662172468+0.2384587489278173i           -0.700657212181784+0.24824869807553301i           -0.6747362564377059+0.2537469637594706i           -0.6488486439401944+0.2551001691779752i           -0.6226449409502022+0.25261022173010533i          0.8288507634176279+1.454867877561724i             0.9708729265545444+1.3658868596855824i            1.1008220991735542+1.2651261947097296i            1.218165658590333+1.1542523438599706i             1.3225825836584104+1.034639226754656i             1.4136621710919726+0.9076596635363666i            1.490660144885765+0.7747937810070759i             1.5514641432512335+0.6377156185485798i            1.5866612978491212+0.4979862308693255i            1.5397933573417384+0.3524010852969779i            1.2648669535631443+0.18234806157779718i           1.0885133221254775+2.780118554058328E-10i
-0.007500000000000001     0.005000000000000001     1.088422713927842+2.784795151509902E-10i          1.2761081755058172+0.06645958240010064i           1.5726858224288014+0.14628851583660812i           1.6492883864478913+0.21185180311931037i           1.654945716295707+0.27280727561093754i            1.6466947315875418+0.3321523926593461i            1.6340363590775184+0.38959430786878496i           1.619165015816075+0.4445273346702075i             1.6029617140542214+0.4963645165167693i            1.5860403990966718+0.5445562821020584i            1.568968276642786+0.5886090295708598i             1.5521549879813927+0.6285342109367565i            -0.5433218881980048+0.3961670667742057i           -0.5801578656880753+0.3847292897140227i           -0.6151804410899501+0.37314181506900407i          -0.6491476404573497+0.3589834631823078i           -0.6818392325111573+0.3411604014818892i           -0.7127179924219961+0.31892708058455127i          -0.7411094749703618+0.2918871436235929i           -0.766354906076898+0.26002223562416266i           -0.7879383810691266+0.22367462648330796i          -0.8055551744083204+0.18346636084857146i          -0.8191092768196281+0.14018161652392586i          -0.8286539298920546+0.09465208490140825i          -0.8343086383048429+0.04767675026845881i          -0.836179702573062+1.2920213005145616E-7i         -0.8343083635647764-0.0476768121437676i           -0.8286532258745161-0.09465043593497681i          -0.8191081192153857-0.1401800002519174i           -0.8055542934166224-0.18346430814661674i          -0.7879373132185324-0.22367306920070842i          -0.7663537425665511-0.2600207233845775i           -0.7411084521353375-0.2918855101396499i           -0.712717171098879-0.31892541345365444i           -0.6818383613090395-0.34115869829895495i          -0.6491476570110881-0.35898234892510056i          -0.615180773097464-0.373140980272741i             -0.580159227804186-0.3847295905537828i            -0.543319558885438-0.3961697468981826i            1.5521558985873414-0.6285347408762497i            1.5689687487572475-0.5886086546458896i            1.5860407874406879-0.5445558937319828i            1.602961974450895-0.4963642249789755i             1.6191652766873519-0.44452694534271053i           1.6340366036016023-0.38959376989687644i           1.6466950298255854-0.3321515531308517i            1.6549460578482613-0.27280586063013434i           1.6492888032936175-0.21184935227036783i           1.5726864859431497-0.1462837526800225i            1.2761086849274428-0.06645407103448928i           1.0884227139303158+2.8667118258545287E-10i
-0.0025000000000000005    0.005000000000000001     0.7372945715363848+1.986280555817023E-10i         0.67644808993444-0.19334819230299818i             0.4992616779734004-0.18022527155656548i           0.3742655608002554-0.09856395952925359i           0.3198561602600567-0.04105225731144663i           0.29389174430230625+9.792122291446288E-6i         0.2798273926901711+0.03211340442711775i           0.27153870100841143+0.05873195374743891i          0.26646713126881555+0.08153003408856861i          0.2634388602475758+0.10135383543085294i           0.2619021301159391+0.11864099245037361i           0.26172063418135133+0.13359391680414529i          0.8684605108862049+0.22018880140212876i           0.9024222763063475+0.21138114831170346i           0.9362749462491464+0.1986691913608593i            0.9691783886461551+0.1828534864923296i            1.000374655996456+0.16461215985939437i            1.0291140935105798+0.14465512979935144i           1.0547298511887853+0.12376942474333127i           1.076732296271408+0.10277649644273276i            1.0948770135019887+0.08242965356801489i           1.1091715358518495+0.06329203762722782i           1.119817798309464+0.04564548553684594i            1.1271140741293306+0.02945787281350846i           1.1313529441153827+0.01441600089694632i           1.1327408488756685-2.2468595447997058E-7i         1.1313529344618083-0.014415429770108004i          1.1271141153865742-0.02945798709062855i           1.1198177355889722-0.045645285287269056i          1.1091714963436337-0.06329221141090619i           1.0948774090195166-0.08242959726522736i           1.0767327167826348-0.10277636935627531i           1.0547302389151418-0.12376914656379918i           1.0291145510926047-0.14465497612245606i           1.0003754955244955-0.16461180775134784i           0.9691788067782511-0.18285312989947017i           0.9362758775504995-0.19866885955575278i           0.9024234591039676-0.2113818561323109i            0.8684609290670332-0.2201890850755439i            0.26172105022998887-0.1335938005588032i           0.2619021056260278-0.11864093303999688i           0.2634388234847919-0.10135375831849634i           0.266467092089528-0.08152996788034186i            0.27153865496329166-0.05873184014593874i          0.2798273370169321-0.03211324669233381i           0.29389165813725643-9.516489493306777E-6i         0.3198558841889019+0.04105270900565906i           0.37426498852552775+0.09856485280227971i          0.4992604188384405+0.18022737122177884i           0.6764471412079283+0.19335107635169543i           0.7372945715372126+1.8576013789950606E-10i
0.0025000000000000005     0.005000000000000001     -0.7369696007329476-1.9881617482777894E-10i       -0.6908650051066737-0.13114358389304803i          -0.5182078772136763-0.11301604189681769i          -0.385271367672146-0.03153959405202304i           -0.3204176522377864+0.03169270597254922i          -0.28193743561279866+0.08113329446420771i         -0.25302363134247197+0.1225682393719009i          -0.2274051954491843+0.15868891467948157i          -0.20243636597625764+0.1907338013329951i          -0.17687013324013312+0.2192690088434472i          -0.15006668345394392+0.24450144889470588i         -0.1216915575943135+0.26625352558212323i          0.7881317084260683-0.42253808717075336i           0.8369006351571915-0.39511675078260283i           0.8822182779608593-0.36749941027036037i           0.9246550974079101-0.33876653949351987i           0.9640572552899349-0.3084484055997577i            0.9999909384451815-0.27641542181568635i           1.0319325939491129-0.2428414463443959i            1.0594332339980213-0.2081360965545531i            1.082237734254215-0.1728341969896538i             1.1003319168422094-0.1374591286750318i            1.1139077285791337-0.10240200825994399i           1.1232722400631279-0.067851511750077i             1.128738208814035-0.033782205662205606i           1.1305325419448886-4.183634563365488E-7i          1.128738062795047+0.033782448961556084i           1.1232720080747072+0.06785128450593321i           1.1139078542566425+0.10240181658960731i           1.1003321049171135+0.13745862308953066i           1.0822382200073764+0.1728335107062355i            1.059433730329593+0.20813570463538603i            1.0319330188236788+0.24284116507252768i           0.9999913296639902+0.2764152734925574i            0.964057891319016+0.3084483336252707i             0.9246552273054691+0.3387667802635692i            0.882218512266182+0.36749971171927254i            0.836900415509092+0.395117130195461i              0.7881314224689655+0.42253716202858815i           -0.12169145814704802-0.26625219107365206i         -0.15006662689845096-0.24450111263995536i         -0.17687012171990232-0.21926871704021406i         -0.20243638226203697-0.19073354114505262i         -0.22740524549081587-0.15868868889340243i         -0.25302372056551536-0.12256801151596852i         -0.2819376423213406-0.08113309096583723i          -0.32041799792535475-0.03169270287956872i         -0.38527193431544693+0.031539249381672095i        -0.5182087818734041+0.1130144301318321i           -0.6908656587532294+0.13114138335549697i          -0.7369696007328113-1.8350865698939605E-10i
0.007500000000000001      0.005000000000000001     -1.0884036335391143-2.768767333172915E-10i        -1.2647662416918979+0.1822360295565591i           -1.5397106895961055+0.3522690606507577i           -1.586594578895474+0.4978723234113131i            -1.5514113850760893+0.6376101009530831i           -1.490622898677589+0.774690202426773i             -1.4136442720679758+0.9075555202150608i           -1.3225902180530265+1.034534689313911i            -1.2182093778020346+1.154150140181585i            -1.1009233325319159+1.2650335997519355i           -0.9710901626163195+1.3658251163149884i           -0.8295221234219169+1.4549616360803577i           -0.6262546400182119-0.2520385425362633i           -0.6495225640483507-0.2557606520431972i           -0.6749791676267478-0.2546273770408049i           -0.7007679873407505-0.24921926998001065i          -0.7260084209890031-0.23946354128684613i          -0.74985200189765-0.2253030758348002i             -0.7715128254629053-0.20684029569534157i          -0.7903676454451426-0.18439523595116056i          -0.8060395211480693-0.15849243318629863i          -0.8184225057224372-0.12979016503208274i          -0.8276361563022062-0.09898430212143737i          -0.833928888260247-0.06672457806253762i           -0.8375702752088645-0.03357228510267592i          -0.8387598434380198-6.549144226905382E-8i         -0.8375700705370345+0.03357207310820921i          -0.8339290662711399+0.06672415327672061i          -0.8276368217833777+0.09898383133492367i          -0.8184233021208047+0.1297895433849157i           -0.8060402622752671+0.15849227885536496i          -0.7903684679881666+0.18439443931325378i          -0.771513486492933+0.20683935809552212i           -0.7498525450094314+0.22530199116925703i          -0.726009182727104+0.23946187430947058i           -0.7007679432038536+0.24921808513066157i          -0.6749795541555477+0.25462601987902855i          -0.6495245007670086+0.25576016927212114i          -0.6262576184918702+0.25203501201822054i          -0.8295228836930991-1.4549606862300404i           -0.9710899863058422-1.365824991767846i            -1.1009232318371391-1.2650335048373722i           -1.2182093741156708-1.1541500895307395i           -1.3225901737202101-1.0345347230930035i           -1.4136441952320873-0.9075557178095414i           -1.4906227537559271-0.7746907106271488i           -1.551411088195547-0.6376112471012904i            -1.5865940139992991-0.49787456991303236i          -1.539709869901643-0.3522738337800565i            -1.2647657835756898-0.18224191725358543i          -1.0884036335414555-2.868627163187493E-10i
