% Model:              c4扩张收缩.mph
% Version:            COMSOL 5.4.0.225
% Date:               Apr 25 2021, 16:33
% Dimension:          2
% Nodes:              8
% Expressions:        51
% Description:        电场，z 分量
% Length unit:        m
% X                       Y                        ewfd.Ez (V/m) @ lambda=6, k1=-0.5, k2=0.5         ewfd.Ez (V/m) @ lambda=6, k1=-0.48, k2=0.5        ewfd.Ez (V/m) @ lambda=6, k1=-0.46, k2=0.5        ewfd.Ez (V/m) @ lambda=6, k1=-0.44, k2=0.5        ewfd.Ez (V/m) @ lambda=6, k1=-0.42, k2=0.5        ewfd.Ez (V/m) @ lambda=6, k1=-0.4, k2=0.5         ewfd.Ez (V/m) @ lambda=6, k1=-0.38, k2=0.5        ewfd.Ez (V/m) @ lambda=6, k1=-0.36, k2=0.5        ewfd.Ez (V/m) @ lambda=6, k1=-0.34, k2=0.5        ewfd.Ez (V/m) @ lambda=6, k1=-0.32, k2=0.5        ewfd.Ez (V/m) @ lambda=6, k1=-0.3, k2=0.5         ewfd.Ez (V/m) @ lambda=6, k1=-0.28, k2=0.5        ewfd.Ez (V/m) @ lambda=6, k1=-0.26, k2=0.5        ewfd.Ez (V/m) @ lambda=6, k1=-0.24, k2=0.5        ewfd.Ez (V/m) @ lambda=6, k1=-0.22, k2=0.5        ewfd.Ez (V/m) @ lambda=6, k1=-0.2, k2=0.5         ewfd.Ez (V/m) @ lambda=6, k1=-0.18, k2=0.5        ewfd.Ez (V/m) @ lambda=6, k1=-0.16, k2=0.5        ewfd.Ez (V/m) @ lambda=6, k1=-0.14, k2=0.5        ewfd.Ez (V/m) @ lambda=6, k1=-0.12, k2=0.5        ewfd.Ez (V/m) @ lambda=6, k1=-0.1, k2=0.5         ewfd.Ez (V/m) @ lambda=6, k1=-0.08, k2=0.5        ewfd.Ez (V/m) @ lambda=6, k1=-0.06, k2=0.5        ewfd.Ez (V/m) @ lambda=6, k1=-0.04, k2=0.5        ewfd.Ez (V/m) @ lambda=6, k1=-0.02, k2=0.5        ewfd.Ez (V/m) @ lambda=6, k1=0, k2=0.5            ewfd.Ez (V/m) @ lambda=6, k1=0.02, k2=0.5         ewfd.Ez (V/m) @ lambda=6, k1=0.04, k2=0.5         ewfd.Ez (V/m) @ lambda=6, k1=0.06, k2=0.5         ewfd.Ez (V/m) @ lambda=6, k1=0.08, k2=0.5         ewfd.Ez (V/m) @ lambda=6, k1=0.1, k2=0.5          ewfd.Ez (V/m) @ lambda=6, k1=0.12, k2=0.5         ewfd.Ez (V/m) @ lambda=6, k1=0.14, k2=0.5         ewfd.Ez (V/m) @ lambda=6, k1=0.16, k2=0.5         ewfd.Ez (V/m) @ lambda=6, k1=0.18, k2=0.5         ewfd.Ez (V/m) @ lambda=6, k1=0.2, k2=0.5          ewfd.Ez (V/m) @ lambda=6, k1=0.22, k2=0.5         ewfd.Ez (V/m) @ lambda=6, k1=0.24, k2=0.5         ewfd.Ez (V/m) @ lambda=6, k1=0.26, k2=0.5         ewfd.Ez (V/m) @ lambda=6, k1=0.28, k2=0.5         ewfd.Ez (V/m) @ lambda=6, k1=0.3, k2=0.5          ewfd.Ez (V/m) @ lambda=6, k1=0.32, k2=0.5         ewfd.Ez (V/m) @ lambda=6, k1=0.34, k2=0.5         ewfd.Ez (V/m) @ lambda=6, k1=0.36, k2=0.5         ewfd.Ez (V/m) @ lambda=6, k1=0.38, k2=0.5         ewfd.Ez (V/m) @ lambda=6, k1=0.4, k2=0.5          ewfd.Ez (V/m) @ lambda=6, k1=0.42, k2=0.5         ewfd.Ez (V/m) @ lambda=6, k1=0.44, k2=0.5         ewfd.Ez (V/m) @ lambda=6, k1=0.46, k2=0.5         ewfd.Ez (V/m) @ lambda=6, k1=0.48, k2=0.5         ewfd.Ez (V/m) @ lambda=6, k1=0.5, k2=0.5
-0.007500000000000001     -0.005000000000000001    0.6005191680179204+8.337877729009556E-6i          -0.055554898838827235-0.4780495102760246i         0.02830285847454559-0.4621124722437098i           0.06800739761632989-0.4396849808279726i           0.09235375278669385-0.42030949765912917i          0.10974845886910402-0.4044424532968281i           0.12360607006198553-0.39110390855931165i          0.13542523651051144-0.3793333576403904i           0.1458655299744685-0.36842122501396785i           0.15518976172607044-0.35788312199283173i          0.16346078025176702-0.34740153380487565i          0.17063522765975056-0.3367789836310496i           0.17661207958625194-0.3259062104368943i           0.18126183505740445-0.31474132772288i             0.184450396378432-0.30329494935211276i            0.1860696831773932-0.2916149523988799i            0.18609344477249684-0.2797595784237151i           0.1846928454924753-0.2677361014676699i            0.182451803473855-0.2553733000758541i             0.18059068191303063-0.24215892963781063i          0.1807342724845778-0.22728346608663577i           0.18425092516516622-0.20986110395392787i          0.19293254083384734-0.18794102568089355i          0.21031619586152284-0.1551872631824186i           0.23729499469248733-0.09651708182578028i          0.25436144164194985-2.6776117371179132E-11i       0.23729499467828363+0.0965170818595052i           0.21031619584392558+0.15518726320597367i          0.19293254083298386+0.1879410256822966i           0.18425092518456232+0.20986110393881877i          0.1807342725176721+0.22728346606239286i           0.18059068194511876+0.2421589296145531i           0.18245180351234577+0.25537330004885267i          0.18469284552689044+0.2677361014446369i           0.1860934447869808+0.2797595784149806i            0.18606968320068226+0.29161495238546215i          0.18445039639752542+0.3032949493432487i           0.18126183507250573+0.31474132771757724i          0.1766120795877352+0.3259062104372307i            0.17063522771645828+0.3367789836101217i           0.16346078033974984+0.3474015337741244i           0.15518976193477596+0.35788312191616833i          0.14586553034113275+0.3684212248905298i           0.13542523748306687+0.3793333573677963i           0.12360607263254361+0.3911039079059753i           0.10974846623108664+0.40444245158477793i          0.0923537823494598+0.42030949181264504i           0.06800752526377467+0.4396849635344371i           0.028302907852185026+0.46211245454872285i         -0.055554415509114566+0.4780494870614639i         0.6005191279588529+1.0573693294591246E-5i
-0.0025000000000000005    -0.005000000000000001    -1.302927172648833-2.713997317004217E-5i          0.4698622080896285+1.6465530694907808i            0.38041401948488185+1.6046020365717832i           0.3697463295052773+1.5430119681925698i            0.3641078159616221+1.4933834927734664i            0.35477566506038444+1.457638427861591i            0.3412661110256177+1.4330319178831403i            0.3241432118132934+1.4167463246516625i            0.3038967555182094+1.406633737082865i             0.2808078752428812+1.4011525278785373i            0.25497310470086265+1.3991939456666178i           0.22633823611653922+1.3999356870483521i           0.19471700859601276+1.4027347673674058i           0.15978993609256298+1.4070489821305565i           0.121074475333279+1.412374733438355i              0.07783742579957531+1.4181893158324725i           0.02886764715552379+1.4238789503338092i           -0.028086336972895056+1.4286004578064027i         -0.0975063027082768+1.4309113429318676i           -0.18758854240209902+1.4277742584919026i          -0.3093306332667827+1.4126341244264904i           -0.4721580923726794+1.3731158959148515i           -0.685622563871751+1.285904352106146i             -0.9638584530871211+1.0984068665074707i           -1.2869983340197817+0.6976304999040948i           -1.4647971815757697+1.5652463484683393E-10i       -1.2869983339172353-0.6976305000913217i           -0.9638584529638533-1.0984068666162585i           -0.685622563866993-1.2859043521100373i            -0.4721580924992731-1.3731158958750296i           -0.3093306334775205-1.4126341243843343i           -0.1875885426024532-1.4277742584691138i           -0.09750630293450843-1.4309113429205937i          -0.028086337164351632-1.4286004578051805i         0.028867647076800368-1.4238789503358902i          0.07783742568312157-1.4181893158404177i           0.1210744752453604-1.412374733448533i             0.15978993602207675-1.4070489821432763i           0.1947170085875599-1.4027347673700854i            0.2263382358519676-1.3999356871097526i            0.25497310429886405-1.399193945770075i            0.28080787435286414-1.401152528122904i            0.30389675402500493-1.4066337375275586i           0.32414320806576447-1.4167463257216208i           0.3412661017043526-1.433031920590465i             0.35477563958082226-1.4576384353419167i           0.36410771471652664-1.4933835212177962i           0.36974591480317914-1.5430120763936364i           0.3804138913061371-1.6046020738613611i            0.4698605310638176-1.6465536438320332i            -1.3029278098059949-3.4434920157437884E-5i
0.0025000000000000005     -0.005000000000000001    -1.761894308849083-2.853552994099927E-5i          0.20360094597240963+1.7010247181241094i           -0.08907458801923412+1.6472107527009625i          -0.2231088229035953+1.5713805517714385i           -0.2986306796952765+1.508243457121115i            -0.3452260705268773+1.46029368437504i             -0.37580685518589596+1.4246968207730593i          -0.39683408780002505+1.3984336908185957i          -0.411842340554605+1.3791785973946233i            -0.4229186555111543+1.3652579675046073i           -0.4313895903593951+1.3554730582176389i           -0.438168200405803+1.3489462569833937i            -0.4439462908953275+1.3450080334815666i           -0.4493173870683043+1.343113455807469i            -0.4548802933845465+1.342772918650136i            -0.4613733148094313+1.343477512637253i            -0.46992994347146716+1.3445831779138784i          -0.4826490640951943+1.345072714092513i            -0.5037578404210012+1.3430355115854984i           -0.5410388947289716+1.334736610282593i            -0.604979548670181+1.3136678240392774i            -0.704808620162821+1.2696766600354952i            -0.8506174709499829+1.183413392484273i            -1.0585314531448409+1.007653828914483i            -1.317264374004258+0.6388802280613404i            -1.4648958500392557+1.5642141438975392E-10i       -1.3172643739100973-0.6388802282530296i           -1.0585314530300902-1.0076538290339032i           -0.8506174709441191-1.1834133924887578i           -0.7048086202790207-1.2696766599735407i           -0.6049795488661004-1.3136678239527058i           -0.5410388949166662-1.3347366102094058i           -0.5037578406349164-1.3430355115091053i           -0.4826490642760667-1.3450727140311967i           -0.4699299435437989-1.3445831778898267i           -0.46137331491653544-1.343477512603556i           -0.4548802934641824-1.3427729186247541i           -0.4493173871326258-1.3431134557880067i           -0.4439462909051785-1.3450080334799455i           -0.4381682006640898-1.3489462569070572i           -0.4313895907580514-1.3554730581046952i           -0.4229186564058633-1.3652579672592398i           -0.411842342072425-1.3791785970017791i            -0.3968340915416733-1.3984336898625016i           -0.37580686455734014-1.4246968185443878i          -0.34522609613599775-1.460293678806771i           -0.29863077897930995-1.5082434391552348i          -0.2231092375502919-1.571380498208317i            -0.08907470437601821-1.647210765640312i           0.20359935543267-1.7010249658453456i              -1.7618945183491161-3.6194512418247387E-5i
0.007500000000000001      -0.005000000000000001    0.26045361904106823+7.308064930712157E-6i         -0.13354528161301013-0.46215140808388583i         -0.1099829062460626-0.4497475751702856i           -0.10901841521496791-0.4314101246539903i          -0.11060001563611245-0.4159504991029573i          -0.11240354210563745-0.40378410049265506i         -0.11413122435657197-0.3940436205474368i          -0.11568663693900685-0.38587954174193895i         -0.11694244469453244-0.3786616680598603i          -0.11772874331328878-0.3719538627670011i          -0.11784437950582144-0.3654606601458686i          -0.1170644360446383-0.3589840892092871i           -0.11514259125000015-0.35239365001183554i         -0.11180943710876899-0.3456062310871532i          -0.10676606857489769-0.338573008373363i           -0.0996678885243261-0.33127196345139975i          -0.09008330491492102-0.32370646051301677i         -0.07739103282471307-0.315908867233128i           -0.06056585762938549-0.3079233707506572i          -0.03793494343098639-0.29963802060000205i         -0.00743523647446401-0.29021890745509415i         0.032479350609295354-0.2772969419445701i          0.08314932624369323-0.25611152868021325i          0.14641443008502106-0.2164382609471957i           0.21669416097535393-0.13652100613684548i          0.2543043663232684-2.6883057587040186E-11i        0.2166941609555862+0.1365210061675254i            0.14641443006260538+0.21643826096314836i          0.08314932624464293+0.2561115286811817i           0.032479350636273684+0.2772969419440316i          -0.007435236430816208+0.29021890745990364i        -0.037934943388713116+0.29963802061065364i        -0.06056585757975543+0.307923370767177i           -0.0773910327827294+0.3159088672487826i           -0.09008330489884014+0.3237064605206603i          -0.09966788850041533+0.33127196346506005i         -0.10676606855737192+0.33857300838503407i         -0.11180943709255958+0.34560623109785993i         -0.11514259124495646+0.35239365001165807i         -0.11706443597449519+0.35898408924389963i         -0.11784437939649947+0.36546066020258433i         -0.11772874307837695+0.3719538628869897i          -0.11694244431668104+0.3786616682603713i          -0.11568663597537844+0.38587954223779036i         -0.11413122202827514+0.3940436216634874i          -0.11240353590276918+0.40378410327653896i         -0.11059999087280767+0.41595051039104813i         -0.10901831071008791+0.43141016512205266i         -0.10998286098847969+0.4497476207592918i          -0.13354468673147882+0.46215172212528066i         0.2604538965971909+9.275273304033012E-6i
-0.007500000000000001     0.005000000000000001     -0.26127468930462117-7.3080786262789785E-6i       0.05522361158087534+0.4778772562722991i           -0.028433695316652647+0.46215053418410773i        -0.06808905887377358+0.4397933359700925i          -0.0924225607684775+0.4204713223702284i           -0.1098222832201934+0.4046552760336437i           -0.12369733651038732+0.3913686954230563i          -0.13554469949858872+0.379652454035312i           -0.14602387834103037+0.36879789205540775i         -0.15539857367817245+0.35832150433009313i         -0.16373331247721545+0.34790679721048445i         -0.17098724699250048+0.33735754230839343i         -0.17706284537583417+0.3265659854152161i          -0.1818352505314877+0.31549190740907906i          -0.18517612187478244+0.30414729201514307i         -0.1869833226207869+0.2925796529970403i           -0.1872330053448001+0.28084123981259457i          -0.18608422709372638+0.2689186037885814i          -0.18407048583604865+0.25659002285163396i         -0.18230020523652007+0.24326218789567228i         -0.182277073623081+0.22808560850701723i           -0.18539670088079957+0.21027902360249415i         -0.19363392916055486+0.18805459682159892i         -0.21066321613625835+0.15514038399781394i         -0.2374090628291457+0.09644309206305869i          -0.2543866305803841+2.827055223097892E-11i        -0.2374090628150125-0.09644309209938998i          -0.2106632161181413-0.15514038402340774i          -0.19363392915941208-0.18805459682280629i         -0.185396700899403-0.21027902358472605i           -0.18227707365788348-0.2280856084773638i          -0.18230020527215568-0.24326218786832984i         -0.1840704858778796-0.25659002282158494i          -0.18608422713095624-0.268918603762237i           -0.18723300536117835-0.28084123980096093i         -0.18698332264406003-0.2925796529801254i          -0.185176121892388-0.3041472920015276i            -0.18183525054732752-0.31549190739753846i         -0.17706284538041278-0.3265659854145897i          -0.17098724706212293-0.3373575422725357i          -0.1637333125869125-0.347906797163397i            -0.15539857392257284-0.358321504235848i           -0.14602387876273562-0.3687978919211915i          -0.1355447005345056-0.3796524537375296i           -0.12369733919424608-0.3913686947783402i          -0.10982229078630465-0.4046552744932671i          -0.09242259014256167-0.4204713171110607i          -0.06808918351857786-0.4397933212157077i          -0.02843374509189349-0.46215053765265435i         0.0552229925917859-0.4778773551322443i            -0.2612749652989933-9.275512920286651E-6i
-0.0025000000000000005    0.005000000000000001     1.7624827053888128+2.85419178018354E-5i           -0.4706229495313262-1.6473631806097448i           -0.38069860147049966-1.60518227035249i            -0.36988103187375854-1.543530918160997i           -0.3641748209644223-1.4938752003403886i           -0.35481072192415763-1.4581208038543694i          -0.34128868247853394-1.4335190116228325i          -0.32416538308516846-1.4172515023569532i          -0.30392667146332675-1.407171239342409i           -0.2808512214786823-1.401738665404353i            -0.25503369837608386-1.399848324381807i           -0.2264180701779475-1.4006826711607914i           -0.19481579352598524-1.403605324344567i           -0.15990397825608396-1.4080829444421297i          -0.12119450083080327-1.4136231338290597i          -0.07794466963383788-1.4197152175695096i          -0.02892739850779794-1.4257516026284704i          0.028133196148125265-1.430868990665916i           0.09774572701142781-1.43353280461153i             0.18810175416397465-1.4304962561895982i           0.3101011052113089-1.4149815671367985i            0.47301049014804736-1.374686995699893i            0.6863350040558654-1.2866687862013584i            0.9642997949398757-1.0986139321989192i            1.2871579825380879-0.6976025028091238i            1.4648228748874152-1.5973896541333323E-10i        1.287157982434601+0.6976025030021182i             0.9642997948107861+1.0986139323128175i            0.6863350040465611+1.2866687862054351i            0.47301049027095093+1.3746869956546415i           0.31010110542376373+1.4149815670865786i           0.18810175436720694+1.4304962561591417i           0.09774572724041324+1.4335328045912643i           0.028133196343205488+1.4308689906585814i          -0.028927398426799325+1.4257516026282717i         -0.07794466951610939+1.4197152175717092i          -0.12119450074295482+1.4136231338302778i          -0.15990397818455074+1.408082944443437i           -0.19481579351661488+1.4036053243465367i          -0.2264180699045671+1.4006826711925395i           -0.2550336979636492+1.399848324439823i            -0.2808512205561474+1.4017386655540727i           -0.3039266699194778+1.4071712396175526i           -0.3241653793413461+1.417251503058715i            -0.34128867310145855+1.4335190134567135i          -0.35481069673636323+1.4581208090086626i          -0.36417472452837396+1.4938752200167076i          -0.36988062754632506+1.5435310009376382i          -0.380698535383847+1.6051822788944383i            -0.4706216726664597+1.6473635050991617i           1.7624829145066858+3.620256126915637E-5i
0.0025000000000000005     0.005000000000000001     1.30456832281399+2.7165346718015472E-5i           -0.20347190806631835-1.701914661878628i           0.08899886686672857-1.648311143614074i            0.2229781990811739-1.572476257350115i             0.29848849461925947-1.5093156054027332i           0.3450952812912273-1.461347758886087i             0.37570235401974467-1.4257428621893182i           0.39676730170816704-1.399482883885177i            0.4118235352349594-1.3802430292009003i            0.4229583659154173-1.366351172293428i             0.4314997585370475-1.3566108605882423i            0.43836332648519494-1.3501478517520027i           0.4442448038541667-1.3462973312566613i            0.4497433858511336-1.3445206633222817i            0.45546566729970955-1.344336004291006i            0.46215972043581127-1.3452421770388976i           0.47096836603475833-1.3465970350087053i           0.4839899547867177-1.3473626331828537i            0.5054164965312062-1.3455491169194411i            0.5429251901520427-1.337253548144424i             0.606851152092657-1.3158080418087192i             0.7063836948670362-1.2711502481777088i            0.8517672810567951-1.1842294058850402i            1.0592981357044695-1.0080097479574788i            1.3177676856823048-0.6389874570761763i            1.4653003591953924-1.5988316658409911E-10i        1.3177676855877603+0.6389874572734309i            1.0592981355859388+1.0080097480823975i            0.8517672810478164+1.1842294058904814i            0.70638369497944+1.27115024811159i                0.6068511522886437+1.3158080417137816i            0.5429251903407928+1.3372535480631316i            0.5054164967450655+1.3455491168340368i            0.4839899549694185+1.3473626331130293i            0.4709683661114689+1.3465970349800491i            0.46215972054839394+1.3452421769975913i           0.4554656673847638+1.3443360042605117i            0.44974338592105323+1.3445206633000941i           0.4442448038658404+1.3462973312533983i            0.438363326741894+1.35014785167424i               0.43149975892516507+1.356610860478785i            0.42295836677572873+1.3663511720497297i           0.4118235366619914+1.3802430288111136i            0.39676730524894005+1.3994828829631318i           0.3757023628564429+1.4257428598838315i            0.34509530569598046+1.4613477527680605i           0.29848859008850587+1.509315584945916i            0.222978603821604+1.572476193528569i              0.08899895595477617+1.648311147724684i            -0.20347029054454865+1.7019149312196553i          1.3045689587951288+3.446786407742057E-5i
0.007500000000000001      0.005000000000000001     -0.6008026347154145-8.333830045359883E-6i         0.13396584034695053+0.4619821323237594i           0.11014636449784602+0.4494730093654961i           0.10910529075623411+0.4311771646551111i           0.11065245920237203+0.4157828387835355i           0.11244033823742487+0.4036890745945018i           0.11416378668347064+0.3940255595040939i           0.11572345968032721+0.385942879393704i            0.11699077411538468+0.37881199847848224i          0.11779532537216693+0.372198558040941i            0.11793582497557595+0.3658094845384175i           0.11718737287448748+0.35944996813735797i          0.11530361719563992+0.35299366269528576i          0.11201475494617477+0.34636279624381466i          0.10702047905913381+0.33951494751478845i          0.09997240673187217+0.33243426463126335i          0.0904299162909483+0.3251251958947283i            0.07775236563248465+0.3176023738460082i           0.060880270130945116+0.30984478722349607i         0.0381050992891881+0.3016037915603966i            0.0073847641589350815+0.29191234459039517i        -0.03271573999564614+0.2784653428726395i          -0.08344765309360147+0.2567455414743401i          -0.14666651289978982+0.2166958389741746i          -0.2168586272035365+0.1365846895767535i           -0.25442209297275276+2.8275262359975506E-11i      -0.2168586271830579-0.13658468960998754i          -0.14666651287363594-0.21669583899191508i         -0.08344765309130663-0.2567455414746792i          -0.03271574002057972-0.2784653428680061i          0.007384764113652073-0.29191234458958415i         0.03810509924452916-0.30160379156370537i          0.060880270079403345-0.30984478723019404i         0.07775236558637931-0.31760237385409174i          0.09042991626933779-0.32512519589984584i          0.09997240669909736-0.33243426463839076i          0.10702047903270355-0.339514947521524i            0.11201475492446206-0.346362796251174i            0.11530361719519537-0.3529936626967667i           0.11718737280555683-0.3594499681581166i           0.11793582486878697-0.36580948456260254i          0.11779532512246105-0.3721985581002553i           0.11699077368487039-0.3788119985620335i           0.11572345868768906-0.3859428795316517i           0.11416378417381103-0.39402555988494126i          0.11244033151842303-0.4036890755792683i           0.1106524341589223-0.4157828418115196i            0.10910518665830625-0.43117717955108115i          0.11014638882052477-0.4494730096156831i           0.1339657273305845-0.46198218345823433i           -0.6008025950291968-1.0567925493066745E-5i
